x,y,theta,kappa,arc_length
3.727900000000000347e+01,2.703000000000000114e+01,-1.329425242954222153e+00,-5.238312160847566346e-04,1.963699824311242903e+00
3.771800000000000352e+01,2.511599999999999966e+01,-1.359928966555845387e+00,-4.465114129489460015e-04,2.054708981826866232e+00
3.811999999999999744e+01,2.310099999999999909e+01,-1.387294609700866932e+00,-3.860752559260525324e-04,2.138040691848496433e+00
3.848299999999999699e+01,2.099399999999999977e+01,-1.412032148955021160e+00,-3.362308467769574427e-04,2.213983965614929161e+00
3.880799999999999983e+01,1.880399999999999849e+01,-1.434307344230563830e+00,-2.973335897064818822e-04,2.284102668445530337e+00
3.909499999999999886e+01,1.653800000000000026e+01,-1.454937281775642521e+00,-2.709210125154334903e-04,2.344155498255181769e+00
3.934300000000000352e+01,1.420700000000000074e+01,-1.474464773111177296e+00,-2.497412798200711326e-04,2.397041509861687736e+00
3.955100000000000193e+01,1.181900000000000084e+01,-1.492787832692961780e+00,-2.311636196417540812e-04,2.440857636159881050e+00
3.971999999999999886e+01,9.384000000000000341e+00,-1.510153578666784124e+00,-2.170514190374586011e-04,2.476362251367921985e+00
3.984899999999999665e+01,6.910999999999999588e+00,-1.526786957491551355e+00,-2.068768230621374771e-04,2.501619475459847308e+00
3.993900000000000006e+01,4.410999999999999588e+00,-1.542898444030612159e+00,-2.015361275826913628e-04,2.517496573979792984e+00
3.998899999999999721e+01,1.893999999999999906e+00,-1.558896848805656932e+00,-1.993858550431194809e-04,2.525019801902551375e+00
3.999900000000000233e+01,-6.310000000000000053e-01,-1.574758271199254489e+00,-1.989623161813957458e-04,2.523178352792366130e+00
3.996900000000000119e+01,-3.153999999999999915e+00,-1.590662578345758860e+00,-2.003437971386315408e-04,2.510975905897943505e+00
3.989900000000000091e+01,-5.663999999999999702e+00,-1.606595351693868468e+00,-2.061854974728955653e-04,2.490386516185790544e+00
3.978999999999999915e+01,-8.151999999999999247e+00,-1.623145783245289131e+00,-2.155360870254030559e-04,2.459578215873607920e+00
3.964000000000000057e+01,-1.060699999999999932e+01,-1.640132300472424420e+00,-2.259812408250076038e-04,2.419315605703399097e+00
3.945199999999999818e+01,-1.301900000000000013e+01,-1.657733560695679342e+00,-2.432038907024276081e-04,2.371983347327717428e+00
3.922399999999999665e+01,-1.538000000000000078e+01,-1.676600132114729691e+00,-2.658824802213022309e-04,2.315445745423544199e+00
3.895700000000000074e+01,-1.767999999999999972e+01,-1.696645682408346456e+00,-2.941737618708077651e-04,2.249905998036361154e+00
3.865100000000000335e+01,-1.990899999999999892e+01,-1.718412717062267392e+00,-3.297646458178312562e-04,2.176516942272678001e+00
3.830599999999999739e+01,-2.205799999999999983e+01,-1.741984786118020656e+00,-3.712955939427203117e-04,2.097267984784014327e+00
3.792300000000000182e+01,-2.412000000000000099e+01,-1.767571154260192401e+00,-4.286151628425938220e-04,2.010362156428535663e+00
3.750300000000000011e+01,-2.608599999999999852e+01,-1.796316183468298799e+00,-5.064445456196119827e-04,1.916529415375616052e+00
3.704500000000000171e+01,-2.794699999999999918e+01,-1.828760429726350445e+00,-6.024977504633793890e-04,1.819622488320038478e+00
3.654999999999999716e+01,-2.969800000000000040e+01,-1.865342709794329368e+00,-7.283247511637135074e-04,1.715261496099063976e+00
3.601899999999999835e+01,-3.132900000000000063e+01,-1.907385974561013775e+00,-8.959949889852311666e-04,1.610136019099005722e+00
3.545199999999999818e+01,-3.283599999999999852e+01,-1.956018242285052278e+00,-1.124530866942290847e-03,1.501925430905279413e+00
3.485000000000000142e+01,-3.421200000000000330e+01,-2.013433430943287306e+00,-1.431294519172791185e-03,1.394504930073746651e+00
3.421200000000000330e+01,-3.545199999999999818e+01,-2.081193474386620501e+00,-1.837277498620493860e-03,1.286796409693470755e+00
3.354099999999999682e+01,-3.654999999999999716e+01,-2.161718630075163183e+00,-2.384832717193721002e-03,1.185425661945954001e+00
3.283599999999999852e+01,-3.750300000000000011e+01,-2.258321835026948499e+00,-3.104356917737326194e-03,1.089944035260525856e+00
3.209899999999999665e+01,-3.830599999999999739e+01,-2.374091937310542910e+00,-3.988185450748367444e-03,1.008315922714700719e+00
3.132900000000000063e+01,-3.895700000000000074e+01,-2.511056449117721634e+00,-4.969675971114813351e-03,9.407576733675886427e-01
3.052899999999999991e+01,-3.945199999999999818e+01,-2.669398244156385491e+00,-5.871480898875090781e-03,8.971092464131666944e-01
2.969800000000000040e+01,-3.978999999999999915e+01,-2.845046844520089824e+00,-6.420513827557386421e-03,8.794100295084209540e-01
2.883699999999999974e+01,-3.996900000000000119e+01,-3.028428857893540993e+00,1.016350736435000929e-01,8.902246907382432850e-01
2.794699999999999918e+01,-3.998899999999999721e+01,3.075281606429054904e+00,1.066507898095390566e-01,9.276254632123875909e-01
2.703000000000000114e+01,-3.984899999999999665e+01,2.910442086426913377e+00,-4.952966317515489214e-03,9.899191886209711688e-01
2.608599999999999852e+01,-3.955100000000000193e+01,2.766321830733839970e+00,-3.959156008592076836e-03,1.071837674277220209e+00
2.511599999999999966e+01,-3.909499999999999886e+01,2.643958136842727402e+00,-3.062174323927767394e-03,1.168999572283925037e+00
2.412000000000000099e+01,-3.848299999999999699e+01,2.542111977021773050e+00,-2.333752728968067902e-03,1.274200141265097175e+00
2.310099999999999909e+01,-3.771800000000000352e+01,2.457635111948435203e+00,-1.775854880297352695e-03,1.388130037136292794e+00
2.205799999999999983e+01,-3.680199999999999960e+01,2.387762946680122234e+00,-1.359262501384711497e-03,1.503309682001680914e+00
2.099399999999999977e+01,-3.574000000000000199e+01,2.329479832690246610e+00,-1.049898698329412156e-03,1.621496222628969086e+00
1.990899999999999892e+01,-3.453499999999999659e+01,2.280972534715234534e+00,-8.176797929591340941e-04,1.738386895946928634e+00
1.880399999999999849e+01,-3.319299999999999784e+01,2.240189726409298920e+00,-6.456571071969674502e-04,1.854454367192676756e+00
1.767999999999999972e+01,-3.171799999999999997e+01,2.205712158095522124e+00,-5.157587174359802573e-04,1.966561720363740884e+00
1.653800000000000026e+01,-3.011700000000000088e+01,2.176372296163247455e+00,-4.184579530038153028e-04,2.074320370627449339e+00
1.538000000000000078e+01,-2.839600000000000080e+01,2.151036529176092227e+00,-3.402537489612077193e-04,2.177878325343269417e+00
1.420700000000000074e+01,-2.656099999999999994e+01,2.129705129094415117e+00,-2.768519290283870393e-04,2.274850324746664931e+00
1.301900000000000013e+01,-2.462099999999999866e+01,2.111326695907186135e+00,-2.291782689421619640e-04,2.365908070910615280e+00
1.181900000000000084e+01,-2.258200000000000074e+01,2.095506955831332174e+00,-1.879662127913361153e-04,2.448944262330199351e+00
1.060699999999999932e+01,-2.045400000000000063e+01,2.082287875539406308e+00,-1.544714873589654591e-04,2.525832338062049764e+00
9.384000000000000341e+00,-1.824399999999999977e+01,2.070875671915724858e+00,-1.271938593186503624e-04,2.594207586142635691e+00
8.151999999999999247e+00,-1.596100000000000030e+01,2.061459780549819598e+00,-1.033298054445366820e-04,2.654015259941057803e+00
6.910999999999999588e+00,-1.361500000000000021e+01,2.053553610636269511e+00,-8.417111461192332278e-05,2.705514738455512269e+00
5.663999999999999702e+00,-1.121400000000000041e+01,2.047074497692855655e+00,-6.582254388694946945e-05,2.747368559185316528e+00
4.410999999999999588e+00,-8.769000000000000128e+00,2.042129868589376507e+00,-4.999914391439971850e-05,2.780368500756689620e+00
3.153999999999999915e+00,-6.288999999999999702e+00,2.038287299047901513e+00,-3.440196757405547534e-05,2.804930658679461786e+00
1.893999999999999906e+00,-3.782999999999999918e+00,2.036034391711116776e+00,-1.978364011866878824e-05,2.818788569580911396e+00
6.310000000000000053e-01,-1.262999999999999901e+00,2.034760968360178168e+00,-7.125715495897091967e-06,2.823706783644505780e+00
-6.310000000000000053e-01,1.262999999999999901e+00,2.034760968360178168e+00,7.161421705537129867e-06,2.818788569580911396e+00
-1.893999999999999906e+00,3.782999999999999918e+00,2.036034391711116776e+00,1.990439883634183282e-05,2.804930658679461786e+00
-3.153999999999999915e+00,6.288999999999999702e+00,2.038287299047901513e+00,3.473183383209677011e-05,2.780368500756689620e+00
-4.410999999999999588e+00,8.769000000000000128e+00,2.042129868589376507e+00,5.062488705237337683e-05,2.747368559185316528e+00
-5.663999999999999702e+00,1.121400000000000041e+01,2.047074497692855655e+00,6.688303157967832868e-05,2.705514738455512269e+00
-6.910999999999999588e+00,1.361500000000000021e+01,2.053553610636269511e+00,8.583294660463244852e-05,2.654015259941057803e+00
-8.151999999999999247e+00,1.596100000000000030e+01,2.061459780549819598e+00,1.057603896347739797e-04,2.594207586142635691e+00
-9.384000000000000341e+00,1.824399999999999977e+01,2.070875671915724858e+00,1.307047093420509593e-04,2.525832338062049764e+00
-1.060699999999999932e+01,2.045400000000000063e+01,2.082287875539406308e+00,1.593524024192747440e-04,2.448944262330199351e+00
-1.181900000000000084e+01,2.258200000000000074e+01,2.095506955831331730e+00,1.947083112406790967e-04,2.365908070910615280e+00
-1.301900000000000013e+01,2.462099999999999866e+01,2.111326695907186135e+00,2.384298144469387815e-04,2.274850324746664931e+00
-1.420700000000000074e+01,2.656099999999999994e+01,2.129705129094415117e+00,2.893752778261142466e-04,2.177878325343269417e+00
-1.538000000000000078e+01,2.839600000000000080e+01,2.151036529176092227e+00,3.573934466956293909e-04,2.074320370627449339e+00
-1.653800000000000026e+01,3.011700000000000088e+01,2.176372296163247455e+00,4.416977504316278724e-04,1.966561720363740884e+00
-1.767999999999999972e+01,3.171799999999999997e+01,2.205712158095521680e+00,5.473786094085698883e-04,1.854454367192676756e+00
-1.880399999999999849e+01,3.319299999999999784e+01,2.240189726409299809e+00,6.890762687225583660e-04,1.738386895946928634e+00
-1.990899999999999892e+01,3.453499999999999659e+01,2.280972534715236755e+00,8.775280622335644709e-04,1.621496222628969086e+00
-2.099399999999999977e+01,3.574000000000000199e+01,2.329479832690245278e+00,1.132755884972056620e-03,1.503309682001680914e+00
-2.205799999999999983e+01,3.680199999999999960e+01,2.387762946680122234e+00,1.473977541998825608e-03,1.388130037136292794e+00
-2.310099999999999909e+01,3.771800000000000352e+01,2.457635111948435203e+00,1.933499650275581627e-03,1.274200141265097175e+00
-2.412000000000000099e+01,3.848299999999999699e+01,2.542111977021770386e+00,2.545104771952896860e-03,1.168999572283925037e+00
-2.511599999999999966e+01,3.909499999999999886e+01,2.643958136842730067e+00,3.333823965631803332e-03,1.071837674277220209e+00
-2.608599999999999852e+01,3.955100000000000193e+01,2.766321830733835974e+00,4.276564940618010624e-03,9.899191886209711688e-01
-2.703000000000000114e+01,3.984899999999999665e+01,2.910442086426913377e+00,5.267414942025476499e-03,9.276254632123875909e-01
-2.794699999999999918e+01,3.998899999999999721e+01,3.075281606429054904e+00,-1.080132556544571021e-01,8.902246907382432850e-01
