s,d,s_d,d_d
0.6680003048315805,0.0,3.3531473860691965,0.0
1.3399515290607151,0.0,3.372784770296441,0.0
2.01581844501102,0.0,3.392247061248683,0.0
2.695566139107477,0.0,3.4115358201142447,0.0
3.379160009075807,0.0,3.4306525941613892,0.0
4.0665657611668085,0.0,3.449598916862435,0.0
4.757749407405452,0.0,3.4683763080167633,0.0
5.452677262864495,0.0,3.4869862738727337,0.0
6.151315942962411,0.0,3.5054303072485062,0.0
6.853632360785411,0.0,3.5237098876517927,0.0
7.559593724433339,0.0,3.541826481398534,0.0
8.269167534389236,0.0,3.5597815417305236,0.0
8.982321580912362,0.0,3.5775765089319815,0.0
9.699023941454449,0.0,3.595212810445086,0.0
10.419242978099003,0.0,3.6126918609844796,0.0
11.142947335023438,0.0,3.6300150626507515,0.0
11.87010593598383,0.0,3.647183805042907,0.0
12.600687981822109,0.0,3.6641994653698373,0.0
13.334662947995467,0.0,3.6810634085607936,0.0
14.072000582127805,0.0,3.697776987374876,0.0
14.812670901582997,0.0,3.714341542509546,0.0
15.556644191059814,0.0,3.730758402708173,0.0
16.303891000208267,0.0,3.7470288848666202,0.0
17.054382141267226,0.0,3.763154294138881,0.0
17.808088686723078,0.0,3.779135924041773,0.0
18.5649819669893,0.0,3.7949750565587,0.0
19.32503356810668,0.0,3.8106729622424855,0.0
20.088215329464056,0.0,3.8262309003172934,0.0
20.8544993415394,0.0,3.8416501187796377,0.0
21.623857943661022,0.0,3.85693185449849,0.0
22.39626372178872,0.0,3.8720773333144995,0.0
23.171689506314763,0.0,3.887087770138322,0.0
23.95010836988443,0.0,3.901964369048078,0.0
24.731493625236013,0.0,3.916708323385936,0.0
25.51581882306008,0.0,3.931320815853841,0.0
26.303057749877787,0.0,3.945803018608383,0.0
27.09318442593817,0.0,3.9601560933548257,0.0
27.886173103134116,0.0,3.974381191440292,0.0
28.68199826293699,0.0,3.9884794539461206,0.0
29.480634614349608,0.0,4.0024520117794005,0.0
30.282057091877505,0.0,4.016299985763688,0.0
31.086240853518284,0.0,4.03002448672891,0.0
31.893161278768883,0.0,4.043626615600478,0.0
32.70279396665062,0.0,4.057107463487594,0.0
33.51511473375181,0.0,4.070468111770779,0.0
34.33009961228794,0.0,4.083709632188613,0.0
35.14772484817899,0.0,4.096833086923709,0.0
35.96796689914402,0.0,4.109839528687917,0.0
36.79080243281267,0.0,4.122730000806763,0.0
37.616208324853595,0.0,4.1355055373031515,0.0
38.444161657119416,0.0,4.148167162980299,0.0
39.27463971580842,0.0,4.160715893503947,0.0
40.10761998964247,0.0,4.173152735483831,0.0
40.9430801680613,0.0,4.18547868655443,0.0
41.7809981394328,0.0,4.197694735454989,0.0
42.621351989279354,0.0,4.209801862108835,0.0
43.46411999851989,0.0,4.221801037701981,0.0
44.309280641727725,0.0,4.233693224761033,0.0
45.15681258540383,0.0,4.245479377230394,0.0
46.00669468626557,0.0,4.257160440548795,0.0
46.85890598955066,0.0,4.2687373517251235,0.0
47.71342572733625,0.0,4.280211039413598,0.0
48.57032456801019,0.0,4.292930738434758,0.0
49.42975880482731,0.0,4.3055235770341715,0.0
50.29170315091379,0.0,4.317990820459277,0.0
51.15613257159547,0.0,4.33033372133852,0.0
52.0230222818825,0.0,4.342553519807201,0.0
52.89234774397908,0.0,4.354651443632089,0.0
53.76408466481813,0.0,4.3666287083347655,0.0
54.6382089936204,0.0,4.378486517313764,0.0
55.51469691947807,0.0,4.390226061965474,0.0
56.393524868962324,0.0,4.401848521803844,0.0
57.27466950375488,0.0,4.413355064578896,0.0
58.15810771830311,0.0,4.424746846394051,0.0
59.043912924251444,0.0,4.437446358264516,0.0
59.9322484211269,0.0,4.450003248663781,0.0
60.82308579257629,0.0,4.462419119297819,0.0
61.71639694137541,0.0,4.474695553884699,0.0
62.61215408584502,0.0,4.486834118356588,0.0
63.510329756307186,0.0,4.498836361059506,0.0
64.41089679158132,0.0,4.510703812950819,0.0
65.31382833551966,0.0,4.522437987794524,0.0
66.2190978335815,0.0,4.534040382354341,0.0
67.12667902944614,0.0,4.545512476584628,0.0
68.03654596166365,0.0,4.556855733819164,0.0
68.94877525049652,0.0,4.569579909325731,0.0
69.8635384410651,0.0,4.58214196941103,0.0
70.7808032495843,0.0,4.594543979545612,0.0
71.70053780358836,0.0,4.606787978884404,0.0
72.62271063669039,0.0,4.618875980601993,0.0
73.54729068340853,0.0,4.630809972223624,0.0
74.47424727405819,0.0,4.642591915952001,0.0
75.40355012970927,0.0,4.654223748989913,0.0
76.33516935720772,0.0,4.6657073838587495,0.0
77.26907544426034,0.0,4.677044708712961,0.0
78.20523925458244,0.0,4.6882375876505105,0.0
