f_waypoints_s,f_waypoints_d,f_s_d,f_d_d
0.6680003048315805,0.0,3.3531473860691965,0.0
1.3399515290607151,0.0,3.372784770296441,0.0
2.01581844501102,0.0,3.392247061248683,0.0
2.695566139107477,0.0,3.4115358201142447,0.0
3.379160009075807,0.0,3.4306525941613892,0.0
4.0665657611668085,0.0,3.449598916862435,0.0
4.757749407405452,0.0,3.4683763080167633,0.0
5.452677262864495,0.0,3.4869862738727337,0.0
6.151315942962411,0.0,3.5054303072485062,0.0
6.853632360785411,0.0,3.5237098876517927,0.0
7.559593724433339,0.0,3.541826481398534,0.0
8.269167534389236,0.0,3.5597815417305236,0.0
8.982321580912362,0.0,3.5775765089319815,0.0
9.699023941454449,0.0,3.595212810445086,0.0
10.419242978099003,0.0,3.6126918609844796,0.0
11.142947335023438,0.0,3.6300150626507515,0.0
11.87010593598383,0.0,3.647183805042907,0.0
12.600687981822109,0.0,3.6641994653698373,0.0
13.334662947995467,0.0,3.6810634085607936,0.0
14.072000582127805,0.0,3.697776987374876,0.0
14.812670901582997,0.0,3.714341542509546,0.0
15.556644191059814,0.0,3.730758402708173,0.0
16.303891000208267,0.0,3.7470288848666202,0.0
17.054382141267226,0.0,3.763154294138881,0.0
17.808088686723078,0.0,3.779135924041773,0.0
18.5649819669893,0.0,3.7949750565587,0.0
19.32503356810668,0.0,3.8106729622424855,0.0
20.088215329464056,0.0,3.8262309003172934,0.0
20.8544993415394,0.0,3.8416501187796377,0.0
21.623857943661022,0.0,3.85693185449849,0.0
22.39626372178872,0.0,3.8720773333144995,0.0
23.171809959494446,0.0,3.8888675700109805,0.0
23.9508448828607,0.0,3.9075852573486394,0.0
24.733609177476044,0.0,3.9260927362835805,0.0
25.51964049634348,0.0,3.9381532182491457,0.0
26.308183541672445,0.0,3.951681932801823,0.0
27.0994207052387,0.004011851851851852,3.9650382815098295,0.058074074074074084
27.893123532245127,0.02903835709485509,3.9753605131821312,0.2038158619990398
28.688971118868157,0.08904551655554054,3.986867694918855,0.40232614974606634
29.487215201165924,0.1914130515563919,3.9997757509539626,0.6226586572007163
30.288104032652345,0.3369410548265233,4.013647587346158,0.8264348777869338
31.09175890641251,0.5191694397416244,4.027395737954335,0.9881417203199125
31.898155159518055,0.7290015368992372,4.041021305600986,1.102033519514806
32.70726834894326,0.9567728814582477,4.054525383275478,1.167851652510711
33.518983137165264,1.192454051806511,4.066561636297115,1.1786813512984848
34.33318906502782,1.4246196152079906,4.079837988114919,1.1350786858326154
35.15004229562166,1.6438560144737444,4.092995963681948,1.051934540045175
35.96951922473863,1.8436977090058655,4.106036618479175,0.9432614107879626
36.79159645863333,2.0202339189342027,4.118960998576564,0.8206037672710328
37.61625081214655,2.1716241900040405,4.131770140716981,0.6931463645204985
38.4434593068455,2.29685692992998,4.144465072399355,0.556433939428246
39.27319916918049,2.393629083997326,4.157046811961104,0.4110350758948162
40.10536293926352,2.4603099681330485,4.168260980338083,0.2515827207652783
40.939763493681966,2.492690834919408,4.17938522609358,0.06860885124939399
41.77646642987344,2.4868216006517105,4.191655606260251,-0.1284120134269923
42.61561607818696,2.4416698711763685,4.203816579745052,-0.32055103332844787
43.457190622945184,2.3601106937294802,4.215869122053376,-0.4902518421587777
44.301168442986395,2.246954827658006,4.227814199992696,-0.6389707237312234
45.14752810993014,2.1059233356944422,4.239652771750115,-0.7668758343872846
45.99624838645837,1.942229954817604,4.251385786969231,-0.8645386688556004
46.84730822461182,1.7623867559982176,4.263014186826311,-0.9281089912636313
47.70068676410166,1.5732549529897961,4.27453890410579,-0.9577028462276216
48.55645498761563,1.38133256295486,4.287315174392995,-0.9568823812231741
49.414769883527775,1.1922489026586482,4.299964020042693,-0.9298850559419972
50.27560605250013,1.0108490258208525,4.31248671192955,-0.8808321715516372
51.13893834851599,0.8410512974324346,4.324884508253115,-0.8147352520028839
52.004741876353485,0.6857415767336784,4.337158654664233,-0.736813162105057
52.8729919890842,0.5467818448015406,4.3493103843902,-0.6520231982526331
53.74366428559685,0.4250947641567971,4.361340918358672,-0.5647639751021677
54.6167346081456,0.32079368171448525,4.373251465320335,-0.47871216209942397
55.49217903992283,0.23333470724624628,4.38504322197035,-0.3967598624800115
56.36997390265616,0.16167365000362746,4.3967173730685944,-0.32102434314134953
57.25019442765214,0.10443922830210942,4.409731669063321,-0.25256990981592103
58.133125321248755,0.06013442259161729,4.424330314135666,-0.1917793894743962
59.01848603358375,0.027175529783945242,4.4316647723555675,-0.139244235077777
59.905307335361584,0.0011815610683868429,4.438905784144815,-0.13411744049749977
60.79357061759084,-0.031633746889783966,4.446054540080155,-0.20622287248699037
