x_ref,y_ref
0.2989728737152221,0.5973597785624912
0.5996369763294273,1.1982918841103332
0.902042707902803,1.8027314837054131
1.2062429640635304,2.4106128387182393
1.5122931335443732,3.021869302932832
1.8202510951892634,3.6364333209466295
2.1301772144432034,4.254236426858442
2.4421343393386534,4.875209243237584
2.7561826503667777,5.499284056152633
3.0723377511754957,6.126415791053404
3.39059098243061,6.756571841149451
3.710933504041181,7.389720009457241
4.03336806757307,8.025822435041663
4.3579907660973385,8.66479340889318
4.684945719362917,9.306522752580591
5.0143817822305365,9.95089815297014
5.346424655631737,10.59781934941856
5.6810658703006425,11.247254608039222
6.018253788862842,11.899194423860704
6.357935667120426,12.553630114865896
6.700126173829772,13.210517797380534
7.044993990526722,13.869732856219642
7.392733083065894,14.53113761752612
7.7435365599144,15.19459494847025
8.097514071241024,15.860009708233603
8.454709783675925,16.527319725642176
8.815167017505303,17.196463358212327
9.178946904376964,17.867369213760345
9.546158680138673,18.539939315092113
9.916921955964625,19.21407006358072
10.291370412197598,19.88964940069741
10.669789345496781,20.5666128279217
11.052638544880834,21.245087347935623
11.44032914937153,21.925103354572233
11.832811017279099,22.606140513479794
12.229784994083602,23.28747952969552
12.627971567183986,23.971256000401926
13.012943710262624,24.665910980075605
13.373186305962426,25.378496857140885
13.703324907239292,26.11346017836092
14.003711265846318,26.872005014491144
14.28083512952966,27.6514436276445
14.543340921288863,28.447480561729197
14.80040171372264,29.255352616405133
15.061347647212498,30.06973075036183
15.336608132159744,30.884291423478274
15.634949826289912,31.693625728890517
15.962580375621815,32.49365443368603
16.324066583601844,33.28178336816669
16.72194833952819,34.05574820589122
17.15790550220292,34.81343115544128
17.634470502224953,35.55163198046501
18.155121891192042,36.26864501474719
18.72479858702737,36.9590324299517
19.347461549658227,37.61622690881499
20.024404221127824,38.234760404608906
20.756968717001413,38.81317808574719
21.54390649297644,39.34761982917824
22.385958532074174,39.83203638726274
23.278789110934095,40.25660382356135
24.218386241875372,40.61293452836768
25.20828168059372,40.89052273756001
26.23761374512989,41.06583588618792
27.29126436138106,41.114392339495595
28.342797500942698,41.01081817423746
29.35012365175457,40.74085567294201
30.270173270306643,40.316748464149875
31.082328902840416,39.77204520941318
31.788728897071994,39.142016077244335
32.404446177984724,38.45602847736955
32.94907581377158,37.73256307841461
33.43862799938911,36.9822353871295
33.884828676894465,36.21146725621114
34.29668846820689,35.42421506791057
34.68016070276024,34.62323498944313
35.036677325091674,33.8101197507959
35.35821699406085,32.981881238909125
35.635882265705185,32.136482845943185
35.86765209985147,31.275058770680126
36.05585837328917,30.400388758941276
36.20543410516686,29.51556647630059
36.32260182577945,28.623370457478188
36.413946173988975,27.72630675324446
36.4852412963094,26.826135492700352
36.541951569460224,25.923836162720246
36.590258363608264,25.02047414815093
36.63797874497573,24.117869558057354
36.69101118952583,23.217201270916032
36.75277842782029,22.318376443428026
36.82578866458286,21.420597991607607
36.91415995517606,20.52376728483231
37.02167523192388,19.628301706802358
37.149896348537126,18.733800858590286
37.29838903026327,17.839539472774728
37.46720343555601,16.944949299160896
37.65425894941146,16.049255797617615
